,Project Reference,Academic Year,Mobility Duration,Activity (mob),Field of Education,Participant Gender,Participant Profile,Special Needs,Fewer Opportunities,GroupLeader,Participant Age,Sending City,Sending Organization,Receiving City,Receiving Organization,Participants,Activity Classification,New Participant Nationality,New Education Level,Receiving Country Name,Sending Country Name
0,2017-1-PT01-KA103-035561,2018-2019,113,Student mobility for studies between Programme Countries,"Business and administration, not further defined",Male,Learner,No,No,No,21,FARO,UNIVERSIDADE DO ALGARVE,POZNAN,UNIWERSYTET EKONOMICZNY W POZNANIU,1,Studies,Portugal,Bachelor,Poland,Portugal
1,2018-1-AT01-KA103-038802,2018-2019,62,Student mobility for traineeships between Programme Countries,Food processing,Female,Learner,No,No,No,20,WIEN,UNIVERSITAET FUER BODENKULTUR WIEN,Galway,NATIONAL UNIVERSITY OF IRELAND GALWAY,1,Traineeships,Austria,Bachelor,Ireland,Austria
2,2014-2-UK01-KA105-001458,2015-2016,12,Youth Exchanges - Partner Countries,Other,Male,Learner,No,Yes,No,21,Mogilev,Young leaders of Mogilev,SIRVAN,Association of Sirvan Youth,4,Youth Exchange,Belarus,Unknown,Azerbaijan,Belarus
3,2017-1-FR01-KA103-035756,2017-2018,257,Student mobility for studies between Programme Countries,"Engineering and engineering trades, not further defined",Female,Learner,No,No,No,21,GIF SUR YVETTE,CENTRALESUPELEC,CAMBRIDGE,"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE",1,Studies,France,Master,United Kingdom,France
4,2014-1-IT02-KA103-000159,2014-2015,320,Student mobility for studies between Programme Countries,Pharmacy,Female,Learner,No,No,No,29,FISCIANO SA,UNIVERSITA DEGLI STUDI DI SALERNO,CAEN CEDEX 05,UNIVERSITE DE CAEN BASSE-NORMANDIE,1,Studies,Italy,Master,France,Italy
5,2016-3-IT03-KA105-009617,2017-2018,9,Youth Exchanges - Programme Countries,Other,Female,Learner,No,No,Yes,39,Borgomanero,Vedogiovane Società Cooperativa Sociale,Borgomanero,Vedogiovane Società Cooperativa Sociale,1,Youth Exchange,Italy,Unknown,Italy,Italy
6,2017-2-DE04-KA105-015398,2017-2018,6,Youth Exchanges - Programme Countries,Other,Female,Learner,No,No,Yes,19,MARMOUTIER,ASSOCIATION COMMUNES SANS FRONTIERES,Sasbachwalden,Gemeinde Sasbachwalden,1,Youth Exchange,France,Unknown,Germany,France
7,2014-1-LT01-KA103-000003,2014-2015,198,Student mobility for studies between Programme Countries,Audio-visual techniques and media production,Female,Learner,No,No,No,23,VILNIUS,LIETUVOS MUZIKOS IR TEATRO AKADEMIJA,LEIPZIG,UNIVERSITAET LEIPZIG,1,Studies,Lithuania,Bachelor,Germany,Lithuania
8,2015-1-BG01-KA103-013920,2016-2017,5,Staff mobility for teaching between Programme Countries,"Business and administration, not further defined",Female,Staff,No,No,No,23,SOFIA,NEW BULGARIAN UNIVERSITY,BOLOGNA,ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA,1,Teach,Bulgaria,Bachelor,Italy,Bulgaria
9,2018-1-ES01-KA103-048125,2018-2019,290,Student mobility for studies between Programme Countries,Audio-visual techniques and media production,Male,Learner,No,No,No,31,VALENCIA,UNIVERSITAT POLITECNICA DE VALENCIA,Bremen,UNIVERSITAET BREMEN,1,Studies,Spain,Master,Germany,Spain
